account,text,date,compound,positive,neutral,negative
BBC,"In 1941, Josef Jakobs was executed at the Tower of London, marking the end of a chapter in its history. https://t.co/q9nwuRjqmv",2018-04-25 20:12:00,0.0,0.0,1.0,0.0
BBC,"Hugh Fearnley-Whittingstall is on a mission, asking food producers, restaurants and the government to confront Brit… https://t.co/EcfjGY9Hqo",2018-04-25 19:03:06,-0.1779,0.0,0.898,0.102
BBC,☀️🛶 How an isolated indigenous community in Ecuador is protecting the Amazon jungle with its first solar powered ca… https://t.co/yHNXh2C0ZO,2018-04-25 18:00:25,-0.1531,0.077,0.818,0.105
BBC,"🌱🍓 A man has told of how he 'got his mum back' after a diagnosis of Alzheimer's, in part, by getting her to follow… https://t.co/Bj8a8iAK61",2018-04-25 17:01:10,0.0,0.0,1.0,0.0
BBC,❤️🐿 The dating scene is tough when you're a red squirrel... https://t.co/BUTI5sOp3R,2018-04-25 16:00:21,-0.128,0.0,0.87,0.13
BBC,"🐧 🤣 When penguins... HONK!... interrupt... HONK!... your TV interview... HONK!   
#WorldPenguinDay https://t.co/mFUZec36Ne",2018-04-25 14:44:29,0.6219,0.203,0.797,0.0
BBC,"RT @BBCOne: .@HughFW is waging a war on waistlines. Tonight, 9pm, BBC One 🍔
#BritainsFatFight https://t.co/zYC7BECRw9",2018-04-25 14:31:54,-0.5994,0.0,0.782,0.218
BBC,"RT @bbcmusic: OH HI @NiallOfficial 😍 

#SoundsLikeFridayNight https://t.co/Iw2xK5wMj7",2018-04-25 14:30:12,0.4588,0.231,0.769,0.0
BBC,"RT @BBC6Music: ""I essentially went to Hogwarts!""
- @SimonPegg reveals how to have the #BiggestWeekend in his hometown of Gloucester.

🎥 Lis…",2018-04-25 13:55:02,0.0,0.0,1.0,0.0
BBC,🤠 Never turn your back on a man in a cowboy hat. https://t.co/CBkcugUzBO,2018-04-25 13:49:16,0.0,0.0,1.0,0.0
BBC,RT @BBCBreakfast: Just look at these gorgeous rescued bear cubs 😍 https://t.co/2wvTLiA01U,2018-04-25 12:36:12,0.8689,0.45,0.55,0.0
BBC,RT @BBCTwo: This penguin swims thousands of miles every year to visit his best friend... 🐧💙 #WorldPenguinDay https://t.co/JlrMZ5exRE,2018-04-25 12:24:43,0.6369,0.198,0.802,0.0
BBC,Mums have responded to pictures of the Duchess of Cambridge leaving hospital following the birth of her third child… https://t.co/KQKq2MfdM8,2018-04-25 11:00:09,0.0,0.0,1.0,0.0
BBC,🔥🌶 Some people just can't handle the heat. https://t.co/bcWeeTB8F1,2018-04-25 10:12:00,0.0,0.0,1.0,0.0
BBC,RT @TWBBC: We made a chatbot. Our chatbot predicts how influential your Instagram pictures will be before you post them. Our chatbot uses m…,2018-04-25 08:41:42,0.4404,0.116,0.884,0.0
BBC,💌 This woman will write you a letter when you're going through hard times. https://t.co/6WejY9BcoI,2018-04-25 08:01:03,0.5859,0.226,0.699,0.075
BBC,"📚 From ancient epics to modern novels, some narratives have changed history and influenced the mindsets of generati… https://t.co/QDcGy8jwXe",2018-04-25 07:28:08,0.0,0.0,1.0,0.0
