Zipcode,Address,Population,Median Age,Household Income,Per Capita Income,Poverty Rate
15081,"South Heights, PA 15081, USA",342,50.2,31500,22177,20.76023392
20615,"Broomes Island, MD 20615, USA",424,43.4,114375,43920,5.188679245
50201,"Nevada, IA 50201, USA",8139,40.4,56619,28908,7.777368227
84020,"Draper, UT 84020, USA",42751,30.4,89922,33164,4.392879699
39097,"Louise, MS 39097, USA",495,58,26838,17399,34.94949495
72315,"Blytheville, AR 72315, USA",24120,34.4,37044,19837,23.58623549
5454,"Fairfax, VT 05454, USA",4754,38.7,74911,31192,2.692469499
53816,"Mt Hope, WI 53816, USA",942,33.4,44375,18813,29.29936306
5483,"Sheldon, VT 05483, USA",1481,35.9,65039,24743,7.494935854
37345,"Huntland, TN 37345, USA",2155,46,38688,20549,15.68445476
1922,"Byfield, MA 01922, USA",3025,44.4,109301,40983,2.181818182
95237,"Lockeford, CA 95237, USA",3269,38.7,44542,22400,16.70235546
12429,"Esopus, NY 12429, USA",273,38.7,114129,43122,0
6516,"West Haven, CT 06516, USA",55349,36.9,52353,26602,11.0426566
81087,"Vilas, CO 81087, USA",192,26.8,34500,13210,2.083333333
5492,"Waterville, VT 05492, USA",727,41,53315,23399,12.1045392
2543,"Woods Hole, MA 02543, USA",736,49.7,66250,50348,8.559782609
6062,"Plainville, CT 06062, USA",17767,42.4,60630,32531,6.613384364
95008,"Campbell, CA 95008, USA",45187,37.3,87204,44023,7.395932458
4418,"Greenbush, ME 04418, USA",1632,42,37955,19692,17.76960784
96818,"Honolulu, HI 96818, USA",51522,31.3,70850,26894,8.551686658
87734,"Ocate, NM 87734, USA",190,60.4,42813,19060,44.73684211
30564,"Murrayville, GA 30564, USA",3714,40.5,64213,23422,9.71997846
23146,"Rockville, VA 23146, USA",3107,47,77207,37414,5.857740586
85250,"Scottsdale, AZ 85250, USA",16653,48.6,59358,39968,7.788386477
59529,"Hogeland, MT 59529, USA",143,57.2,115938,70966,1.398601399
1430,"Ashburnham, MA 01430, USA",6119,42.4,83532,34454,6.896551724
90003,"Los Angeles, CA 90003, USA",66200,26.2,29686,9963,39.02114804
93925,"Chualar, CA 93925, USA",1708,32.5,70909,23642,7.142857143
54229,"New Franken, WI 54229, USA",4123,40.4,68667,29538,5.918020859
77378,"Willis, TX 77378, USA",14151,34.7,48136,24117,19.37672249
17938,"Hegins, PA 17938, USA",2489,42.7,58409,23520,4.660506227
65332,"Green Ridge, MO 65332, USA",1656,40.3,40511,18929,14.00966184
624,"Peñuelas, 00624, Puerto Rico",25340,34.2,14768,6761,59.56985004
35956,"Boaz, AL 35956, USA",8716,40,46844,19615,12.32216613
44093,"Williamsfield, OH 44093, USA",1104,37.8,32344,20559,42.21014493
12156,"Schodack Landing, NY 12156, USA",933,40.5,64107,31616,12.96891747
14113,"North Java, NY 14113, USA",630,45.6,47500,33149,10.31746032
17774,"Unityville, PA 17774, USA",1261,35.7,45795,20033,13.79857256
36736,"Dixons Mills, AL 36736, USA",1756,42.3,28333,17708,33.20045558
37727,"Del Rio, TN 37727, USA",2101,49.8,29779,20369,25.70204664
