City,Clouds,Country,Humidity,Latitude,Longitude,"Temperature, imperial",Wind Speed MPH
Kapaa,18.34,US,74,22.08,-159.32,79.61,40
Hasaki,10.29,JP,60,35.73,140.83,72.32,75
Hilo,9.17,US,74,19.71,-155.08,73.76,90
Cherskiy,2.35,RU,81,68.75,161.3,35.53,0
Punta Arenas,6.93,CL,93,-53.16,-70.91,35.6,75
Souillac,3.36,MU,73,-20.52,57.52,73.4,40
Port Alfred,8.05,ZA,100,-33.59,26.89,61.0,8
Henties Bay,5.82,,100,-22.12,14.28,56.54,8
Coquimbo,6.93,CL,87,-29.95,-71.34,55.4,90
Versalles,0.89,CO,94,4.58,-76.2,68.92,40
Cardston,5.82,CA,36,49.2,-113.32,63.5,1
Bluff,7.61,NZ,100,-46.6,168.33,51.59,0
Kavieng,7.49,PG,100,-2.57,150.8,85.25,44
Chokurdakh,10.63,RU,100,70.62,147.9,16.49,0
Ancud,9.4,CL,98,-41.87,-73.83,53.89,92
Doha,4.7,QA,46,25.29,51.53,95.0,80
Hobart,11.41,AU,76,-42.88,147.33,57.2,75
Rikitea,7.16,PF,100,-23.12,-134.97,79.49,24
Kenai,5.82,US,70,60.55,-151.26,43.68,90
Kouroussa,3.02,GN,62,10.65,-9.88,79.54,68
Lebu,16.78,CL,100,-37.62,-73.65,56.59,88
Havre-Saint-Pierre,9.17,CA,74,50.23,-63.6,35.6,75
East London,14.99,ZA,100,-33.02,27.91,62.08,80
Hami,5.82,CN,32,42.84,93.51,84.13,0
Yar-Sale,15.66,RU,97,66.83,70.83,20.99,92
Qaanaaq,5.7,GL,71,77.48,-69.36,6.01,0
Carnarvon,8.95,AU,66,-24.87,113.63,77.92,0
Tuatapere,7.16,NZ,100,-46.13,167.69,48.76,0
Luxor,2.57,EG,46,25.7,32.65,73.4,0
Novoagansk,7.16,RU,80,61.94,76.66,34.94,48
Listvyanka,13.42,RU,62,51.86,104.86,53.6,75
Busselton,7.16,AU,97,-33.64,115.35,68.29,76
Tiksi,10.29,RU,95,71.64,128.87,14.11,36
Grootfontein,6.15,,73,-19.56,18.1,52.63,0
Lorengau,4.7,PG,100,-2.02,147.27,83.72,68
Santo Augusto,7.05,BR,91,-27.85,-53.78,52.45,0
Dikson,18.68,RU,100,73.51,80.55,18.88,76
Dancheng,11.3,CN,58,33.63,115.18,85.52,0
Maraba,4.7,BR,94,-5.35,-49.1,77.0,75
Faanui,12.64,PF,100,-16.48,-151.75,80.57,44
Ushuaia,5.82,AR,69,-54.81,-68.31,35.6,40
Wahiawa,8.05,US,69,21.5,-158.02,81.66,90
